iter	MultiClass
461	0.3684730069
462	0.3682511813
463	0.3680754967
464	0.367939142
465	0.3677800831
466	0.3675314712
467	0.3673688446
468	0.3672680466
469	0.3671116036
470	0.3669546609
471	0.3667480462
472	0.3665036458
473	0.3662751474
474	0.3660798964
475	0.3658021099
476	0.3655539846
477	0.3652581503
478	0.3650281439
479	0.3648865999
480	0.3647835887
481	0.364611049
482	0.364315577
483	0.3641520238
484	0.3638566257
485	0.3636810147
486	0.3634880823
487	0.3633661768
488	0.3631811285
489	0.3629886605
490	0.3628595665
491	0.3626827366
492	0.3625105252
493	0.3623555826
494	0.3621130892
495	0.3618733923
496	0.3616588507
497	0.3614793738
498	0.3612657656
499	0.3610888773
500	0.3609219997
501	0.3606015843
502	0.360470157
503	0.3603242211
504	0.3601145181
505	0.3599897278
506	0.3598163508
507	0.3594956054
508	0.3593433027
509	0.3591634273
510	0.3589620848
511	0.3587751785
512	0.3585297681
513	0.3582997083
514	0.3581705631
515	0.3579467289
516	0.3576997854
517	0.3575718602
518	0.3573486265
519	0.3571018639
520	0.3569149858
521	0.3567056001
522	0.3565712374
523	0.3564837645
524	0.3563377182
525	0.356003525
526	0.3558379823
527	0.3556840909
528	0.3555149334
529	0.3553520204
530	0.3551695905
531	0.3549133077
532	0.3545897846
533	0.3544032608
534	0.3541059244
535	0.3539104335
536	0.3538054686
537	0.3537252761
538	0.3535634859
539	0.3533563055
540	0.3530971257
541	0.3528636435
542	0.352688837
543	0.3525282714
544	0.352272875
545	0.3521060179
546	0.3518647966
547	0.3516961679
548	0.3515337863
549	0.3513243128
550	0.3512047948
551	0.3509832464
552	0.3508082924
553	0.3505731224
554	0.3504070922
555	0.3503314962
556	0.3501820823
557	0.3500079481
558	0.3497105073
559	0.3495012205
560	0.3491788874
561	0.3488816429
562	0.3487748127
563	0.3485458109
564	0.3483306408
565	0.3482532191
566	0.3481322781
567	0.3479385404
568	0.3477748054
569	0.3476456593
570	0.3473475088
571	0.3471955827
572	0.3471036515
573	0.346799257
574	0.3465597328
575	0.3463815243
576	0.3462472462
577	0.3459193321
578	0.3457204989
579	0.3455162356
580	0.3453930703
581	0.3452802682
582	0.3451364076
583	0.3449302461
584	0.3447576284
585	0.3445470277
586	0.344376926
587	0.3442598683
588	0.344060431
589	0.3438615933
590	0.3436586303
591	0.3433775903
592	0.3432167773
593	0.3430527806
594	0.3429346493
595	0.3427781471
596	0.3426675964
597	0.3425274385
598	0.3424231983
599	0.3422113599
600	0.3420955944
601	0.3418747648
602	0.3417363861
603	0.3415331987
604	0.3413138902
605	0.3410983212
606	0.341018351
607	0.3408790458
608	0.3406411468
609	0.3404631875
610	0.3401876059
611	0.3398872573
612	0.3397472779
613	0.339556014
614	0.3393533366
615	0.338974181
616	0.3387311672
617	0.3385634857
618	0.3384514524
619	0.3383500162
620	0.3382299294
621	0.3380821603
622	0.3379576741
623	0.3377728163
624	0.337652338
625	0.3375281113
626	0.3373720567
627	0.3372187246
628	0.3370437336
629	0.3368891538
630	0.3367540143
631	0.3364672888
632	0.3363414389
633	0.3362094027
634	0.3358347616
635	0.3356914564
636	0.3353570827
637	0.3351992167
638	0.3350861363
639	0.3349942778
640	0.3348301511
641	0.3347264309
642	0.3345690015
643	0.334479589
644	0.3342387951
645	0.3340616649
646	0.3339225412
647	0.333839939
648	0.3336693942
649	0.3335077993
650	0.3332707039
651	0.3331650286
652	0.3330294812
653	0.332795897
654	0.3326925896
655	0.3325722412
656	0.3323927033
657	0.3322165099
658	0.3321286187
659	0.3319452997
660	0.3317701812
661	0.3316470482
662	0.3314988394
663	0.33117322
664	0.3310508521
665	0.330829653
666	0.330642754
667	0.3305107753
668	0.330280517
669	0.3300289532
670	0.3299287356
671	0.3297077838
672	0.3295158785
673	0.3294034069
674	0.3292589437
675	0.3290388745
676	0.3288828109
677	0.3285877677
678	0.3284836501
679	0.3282702939
680	0.3281232434
681	0.3280624378
682	0.3279282341
683	0.3278643365
684	0.3276563836
685	0.32748323
686	0.327320745
687	0.3271878959
688	0.3270674348
689	0.3269536988
690	0.3268658579
691	0.3266906523
692	0.3265831306
693	0.3264801503
694	0.3264149102
695	0.3261973566
696	0.3259787503
697	0.3258664992
698	0.3256972925
699	0.3254850754
700	0.3253855399
701	0.3251984805
702	0.3250089323
703	0.3248331536
704	0.3246951316
705	0.3245437976
706	0.3243151257
707	0.3240455909
708	0.32386141
709	0.3237774818
710	0.3235930689
711	0.3233583141
712	0.3232661489
713	0.323118759
714	0.3229999461
715	0.3227677275
716	0.3226403928
717	0.3225453808
718	0.3224139593
719	0.3222718076
720	0.3221345308
721	0.32199066
722	0.3217602579
723	0.3216264472
724	0.3215225311
725	0.3213871852
726	0.3212299628
727	0.3211600431
728	0.3210411143
729	0.3209725597
730	0.3209007734
731	0.3207391026
732	0.3205834441
733	0.3205117044
734	0.3202616114
735	0.3201346101
736	0.3200364754
737	0.3199233785
738	0.319871026
739	0.3196844397
740	0.3195599605
741	0.3194527962
742	0.3192564229
743	0.3191081715
744	0.319026413
745	0.3188389345
746	0.3187337778
